dispit,dispsu,dispsc
"HorzDispV ","BaP       ",   1.00000
"HorzDispV ","Flu       ",   1.00000
"HorzDispV ","Mef       ",   1.00000
"HorzDispV ","Diu       ",   1.00000
"HorzDispV ","HCH       ",   1.00000
"HorzDispV ","HCB       ",   1.00000
"HorzDispV ","cTR1      ",   1.00000
"HorzDispV ","dTR1      ",   1.00000
"HorzDispV ","cTR2      ",   1.00000
"HorzDispV ","dTR2      ",   1.00000
"HorzDispV ","cTR3      ",   1.00000
"HorzDispV ","dTR3      ",   1.00000
"HorzDispV ","cTR4      ",   1.00000
"HorzDispV ","dTR4      ",   1.00000
"HorzDispV ","cTR5      ",   1.00000
"HorzDispV ","dTR5      ",   1.00000
"HorzDispV ","TIC       ",   1.00000
"HorzDispV ","H+        ",   1.00000
"HorzDispV ","H2O       ",   1.00000
"HorzDispV ","NatTemp   ",   1.00000
"HorzDispV ","ModTemp   ",   1.00000
"HorzDispV ","CBOD5     ",   1.00000
"HorzDispV ","CBOD5_2   ",   1.00000
"HorzDispV ","CBOD5_3   ",   1.00000
"HorzDispV ","CBODu     ",   1.00000
"HorzDispV ","CBODu_2   ",   1.00000
"HorzDispV ","COD_Cr    ",   1.00000
"HorzDispV ","COD_Mn    ",   1.00000
"HorzDispV ","NBOD5     ",   1.00000
"HorzDispV ","NBODu     ",   1.00000
"HorzDispV ","POC1      ",   1.00000
"HorzDispV ","POC2      ",   1.00000
"HorzDispV ","POC3      ",   1.00000
"HorzDispV ","DOC       ",   1.00000
"HorzDispV ","PON1      ",   1.00000
"HorzDispV ","PON2      ",   1.00000
"HorzDispV ","PON3      ",   1.00000
"HorzDispV ","DON       ",   1.00000
"HorzDispV ","POP1      ",   1.00000
"HorzDispV ","POP2      ",   1.00000
"HorzDispV ","POP3      ",   1.00000
"HorzDispV ","DOP       ",   1.00000
"HorzDispV ","Opal      ",   1.00000
"HorzDispV ","MPB1peli  ",   1.00000
"HorzDispV ","MPB2psam  ",   1.00000
"HorzDispV ","Mnd1Diat-m",   1.00000
"HorzDispV ","Mnd2Flag-m",   1.00000
"HorzDispV ","Mnd3Diat-f",   1.00000
"HorzDispV ","Mnd4Flag-f",   1.00000
"HorzDispV ","BLOOMALG01",   1.00000
"HorzDispV ","BLOOMALG02",   1.00000
"HorzDispV ","BLOOMALG03",   1.00000
"HorzDispV ","BLOOMALG04",   1.00000
"HorzDispV ","BLOOMALG05",   1.00000
"HorzDispV ","BLOOMALG06",   1.00000
"HorzDispV ","BLOOMALG07",   1.00000
"HorzDispV ","BLOOMALG08",   1.00000
"HorzDispV ","BLOOMALG09",   1.00000
"HorzDispV ","BLOOMALG10",   1.00000
"HorzDispV ","BLOOMALG11",   1.00000
"HorzDispV ","BLOOMALG12",   1.00000
"HorzDispV ","BLOOMALG13",   1.00000
"HorzDispV ","BLOOMALG14",   1.00000
"HorzDispV ","BLOOMALG15",   1.00000
"HorzDispV ","BLOOMALG16",   1.00000
"HorzDispV ","BLOOMALG17",   1.00000
"HorzDispV ","BLOOMALG18",   1.00000
"HorzDispV ","BLOOMALG19",   1.00000
"HorzDispV ","BLOOMALG20",   1.00000
"HorzDispV ","BLOOMALG21",   1.00000
"HorzDispV ","BLOOMALG22",   1.00000
"HorzDispV ","BLOOMALG23",   1.00000
"HorzDispV ","BLOOMALG24",   1.00000
"HorzDispV ","BLOOMALG25",   1.00000
"HorzDispV ","BLOOMALG26",   1.00000
"HorzDispV ","BLOOMALG27",   1.00000
"HorzDispV ","BLOOMALG28",   1.00000
"HorzDispV ","BLOOMALG29",   1.00000
"HorzDispV ","BLOOMALG30",   1.00000
"HorzDispV ","FrCon     ",   1.00000
"HorzDispV ","FrFlow    ",   1.00000
"HorzDispV ","SalBnd    ",   1.00000
"HorzDispV ","OMP       ",   1.00000
"HorzDispV ","SO4       ",   1.00000
"HorzDispV ","SUD       ",   1.00000
"HorzDispV ","SUP       ",   1.00000
"HorzDispV ","FeIIIpa   ",   1.00000
"HorzDispV ","FeIIIpc   ",   1.00000
"HorzDispV ","FeIIId    ",   1.00000
"HorzDispV ","FeIId     ",   1.00000
"HorzDispV ","FeS       ",   1.00000
"HorzDispV ","FeS2      ",   1.00000
"HorzDispV ","FeCO3     ",   1.00000
