"Config:   ","WAQS      ","WAQ       ","Sobek     ","Delft3D   ","
"TrSe2Alg13",A,A,A,A,
"TrSe2Alg14",A,A,A,A,
"TrSe2Alg15",A,A,A,A,
"TrSe2Alg16",A,A,A,A,
"TrSe2Alg17",A,A,A,A,
"TrSe2Alg18",A,A,A,A,
"TrSe2Alg19",A,A,A,A,
"TrSe2Alg20",A,A,A,A,
"TrSe2Alg21",A,A,A,A,
"TrSe2Alg22",A,A,A,A,
"TrSe2Alg23",A,A,A,A,
"TrSe2Alg24",A,A,A,A,
"TrSe2Alg25",A,A,A,A,
"TrSe2Alg26",A,A,A,A,
"TrSe2Alg27",A,A,A,A,
"TrSe2Alg28",A,A,A,A,
"TrSe2Alg29",A,A,A,A,
"TrSe2Alg30",A,A,A,A,
"UlvaFix_P ",A,A,A,A,
"UlvaFix   ", , ,A,A,
"CONSBL    ",A,A,A,A,
"SwOXYParWK",A,A,A,A,
"TrCoef_153",A,A,A,A,
"Volat_153 ",A,A,A,A,
"TrCoef_HCB",A,A,A,A,
"Volat_HCB ",A,A,A,A,
"TrCoef_HCH",A,A,A,A,
"Volat_HCH ",A,A,A,A,
"TrCoef_Flu",A,A,A,A,
"Volat_Flu ",A,A,A,A,
"TrCoef_BaP",A,A,A,A,
"Volat_BaP ",A,A,A,A,
"TrCoef_Atr",A,A,A,A,
"Volat_Atr ",A,A,A,A,
"TrCoef_Mef",A,A,A,A,
"Volat_Mef ",A,A,A,A,
"TrCoef_Diu",A,A,A,A,
"Volat_Diu ",A,A,A,A,
"Los_WK_153",A,A,A,A,
"Los_WK_HCB",A,A,A,A,
"Los_WK_HCH",A,A,A,A,
"Los_WK_Flu",A,A,A,A,
"Los_WK_BaP",A,A,A,A,
"Los_WK_Atr",A,A,A,A,
"Los_WK_Mef",A,A,A,A,
"Los_WK_Diu",A,A,A,A,
"Los_S1_153",A,A,A,A,
"Los_S1_HCB",A,A,A,A,
"Los_S1_HCH",A,A,A,A,
"Los_S1_Flu",A,A,A,A,
"Los_S1_BaP",A,A,A,A,
"Los_S1_Atr",A,A,A,A,
"Los_S1_Mef",A,A,A,A,
"Los_S1_Diu",A,A,A,A,
"Los_S2_153",A,A,A,A,
"Los_S2_HCB",A,A,A,A,
"Los_S2_HCH",A,A,A,A,
"Los_S2_Flu",A,A,A,A,
"Los_S2_BaP",A,A,A,A,
"Los_S2_Atr",A,A,A,A,
"Los_S2_Mef",A,A,A,A,
"Los_S2_Diu",A,A,A,A,
"Sed_Cd    ",A,A,A,A,
"Sed_Cu    ",A,A,A,A,
"Sed_Zn    ",A,A,A,A,
"Sed_Hg    ",A,A,A,A,
"Sed_Ni    ",A,A,A,A,
"Sed_Pb    ",A,A,A,A,
"Sed_Cr    ",A,A,A,A,
"Sed_As    ",A,A,A,A,
"Sed_Va    ",A,A,A,A,
"Sed_153   ",A,A,A,A,
"Sed_HCB   ",A,A,A,A,
"Sed_HCH   ",A,A,A,A,
"Sed_Flu   ",A,A,A,A,
"Sed_Bap   ",A,A,A,A,
"Sed_Atr   ",A,A,A,A,
"Sed_Mef   ",A,A,A,A,
"Sed_Diu   ",A,A,A,A,
"S12TraAs  ",A,A,A,A,
"S12TraCd  ",A,A,A,A,
"S12TraCr  ",A,A,A,A,
"S12TraCu  ",A,A,A,A,
"S12TraHg  ",A,A,A,A,
"S12TraNi  ",A,A,A,A,
"S12TraPb  ",A,A,A,A,
"S12TraVa  ",A,A,A,A,
"S12TraZn  ",A,A,A,A,
"S12Tra153 ",A,A,A,A,
"S12TraAtr ",A,A,A,A,
"S12TraMef ",A,A,A,A,
"S12TraDiu ",A,A,A,A,
"S12TraBaP ",A,A,A,A,
"S12TraOMP ",A,A,A,A,
"S12TraFlu ",A,A,A,A,
"S12TraHCB ",A,A,A,A,
"S12TraHCH ",A,A,A,A,
"Evap_Conti",A,A,A,A,
"AtmDep_IM1",A,A,A,A,
"AtmDep_IM2",A,A,A,A,
"AtmDep_IM3",A,A,A,A,
"Dfwast_IM1",A,A,A,A,
"Dfwast_IM2",A,A,A,A,
"Dfwast_IM3",A,A,A,A,
"AtmDep_NH4",A,A,A,A,
"AtmDep_NO3",A,A,A,A,
"AtmDep_PO4",A,A,A,A,
"AtmDep_SO4",A,A,A,A,
"AtmDep_153",A,A,A,A,
"AtmDep_HCB",A,A,A,A,
"AtmDep_HCH",A,A,A,A,
"AtmDep_Flu",A,A,A,A,
"AtmDep_Bap",A,A,A,A,
"AtmDep_Atr",A,A,A,A,
"AtmDep_Mef",A,A,A,A,
"AtmDep_Diu",A,A,A,A,
"AtmDep_Cd ",A,A,A,A,
"AtmDep_Cu ",A,A,A,A,
"AtmDep_Zn ",A,A,A,A,
"AtmDep_Hg ",A,A,A,A,
"AtmDep_Ni ",A,A,A,A,
"AtmDep_Pb ",A,A,A,A,
"AtmDep_Cr ",A,A,A,A,
"AtmDep_As ",A,A,A,A,
"AtmDep_Va ",A,A,A,A,
"Dfwast_NO3",A,A,A,A,
"Dfwast_NH4",A,A,A,A,
"Dfwast_PO4",A,A,A,A,
"Dfwast_Si ",A,A,A,A,
"Dfwast_SO4",A,A,A,A,
"Dfwast_153",A,A,A,A,
"Dfwast_HCB",A,A,A,A,
"Dfwast_HCH",A,A,A,A,
"Dfwast_Flu",A,A,A,A,
"Dfwast_Bap",A,A,A,A,
"Dfwast_Atr",A,A,A,A,
"Dfwast_Mef",A,A,A,A,
"Dfwast_Diu",A,A,A,A,
"Dfwast_Cd ",A,A,A,A,
"Dfwast_Cu ",A,A,A,A,
"Dfwast_Zn ",A,A,A,A,
"Dfwast_Hg ",A,A,A,A,
"Dfwast_Ni ",A,A,A,A,
"Dfwast_Pb ",A,A,A,A,
"Dfwast_Cr ",A,A,A,A,
"Dfwast_As ",A,A,A,A,
"Dfwast_Va ",A,A,A,A,
"NH3free   ",A,A,A,A,
"PosOXY    ",A,A,A,A,
"Secchi    ",A,A,A,A,
"Prod_TEWOR",A,A,A,A,
"PartS1_OMP",A,A,A,A,
"PartS2_OMP",A,A,A,A,
"PartWK_OMP",A,A,A,A,
"TrCoef_OMP",A,A,A,A,
"Volat_OMP ",A,A,A,A,
"Los_WK_OMP",A,A,A,A,
"Los_S1_OMP",A,A,A,A,
"Los_S2_OMP",A,A,A,A,
"Sed_OMP   ",A,A,A,A,
"AtmDep_OMP",A,A,A,A,
"Dfwast_OMP",A,A,A,A,
"TraSe2_OMP",A,A,A,A,
"Damrear   ",A,A,A,A,
"TRSOXY    ",A,A,A,A,
"APATITE   ",A,A,A,A,
"HarveZoop ",A,A,A,A,
"HarveMuss ",A,A,A,A,
"HarveG3   ",A,A,A,A,
"HarveG4   ",A,A,A,A,
"HarveG5   ",A,A,A,A,
"VB01availN",A,A,A,A,
"VBStatus01",A,A,A,A,
"VBGrowth01",A,A,A,A,
"VBMort01  ",A,A,A,A,
"VB01_Mrt3W",A,A,A,A,
"VB01_Mrt3S",A,A,A,A,
"VB01Upt   ",A,A,A,A,
"VB01_Upt3D",A,A,A,A,
"VB02availN",A,A,A,A,
"VBStatus02",A,A,A,A,
"VBGrowth02",A,A,A,A,
"VBMort02  ",A,A,A,A,
"VB02_Mrt3W",A,A,A,A,
"VB02_Mrt3S",A,A,A,A,
"VB02Upt   ",A,A,A,A,
"VB02_Upt3D",A,A,A,A,
"VB03availN",A,A,A,A,
"VBStatus03",A,A,A,A,
"VBGrowth03",A,A,A,A,
"VBMort03  ",A,A,A,A,
"VB03_Mrt3W",A,A,A,A,
"VB03_Mrt3S",A,A,A,A,
"VB03Upt   ",A,A,A,A,
"VB03_Upt3D",A,A,A,A,
"VB04availN",A,A,A,A,
"VBStatus04",A,A,A,A,
"VBGrowth04",A,A,A,A,
"VBMort04  ",A,A,A,A,
"VB04_Mrt3W",A,A,A,A,
"VB04_Mrt3S",A,A,A,A,
"VB04Upt   ",A,A,A,A,
"VB04_Upt3D",A,A,A,A,
"VB05availN",A,A,A,A,
"VBStatus05",A,A,A,A,
"VBGrowth05",A,A,A,A,
"VBMort05  ",A,A,A,A,
"VB05_Mrt3W",A,A,A,A,
"VB05_Mrt3S",A,A,A,A,
"VB05Upt   ",A,A,A,A,
"VB05_Upt3D",A,A,A,A,
"VB06availN",A,A,A,A,
"VBStatus06",A,A,A,A,
"VBGrowth06",A,A,A,A,
"VBMort06  ",A,A,A,A,
"VB06_Mrt3W",A,A,A,A,
"VB06_Mrt3S",A,A,A,A,
"VB06Upt   ",A,A,A,A,
"VB06_Upt3D",A,A,A,A,
"VB07availN",A,A,A,A,
"VBStatus07",A,A,A,A,
"VBGrowth07",A,A,A,A,
"VBMort07  ",A,A,A,A,
"VB07_Mrt3W",A,A,A,A,
"VB07_Mrt3S",A,A,A,A,
"VB07Upt   ",A,A,A,A,
"VB07_Upt3D",A,A,A,A,
"VB08availN",A,A,A,A,
"VBStatus08",A,A,A,A,
"VBGrowth08",A,A,A,A,
"VBMort08  ",A,A,A,A,
"VB08_Mrt3W",A,A,A,A,
"VB08_Mrt3S",A,A,A,A,
"VB08Upt   ",A,A,A,A,
"VB08_Upt3D",A,A,A,A,
"VB09availN",A,A,A,A,
"VBStatus09",A,A,A,A,
"VBGrowth09",A,A,A,A,
"VBMort09  ",A,A,A,A,
"VB09_Mrt3W",A,A,A,A,
"VB09_Mrt3S",A,A,A,A,
"VB09Upt   ",A,A,A,A,
"VB09_Upt3D",A,A,A,A,
