r2_cid,r2_sid
"Delft3D   ","PbS2-Dis  "
"Delft3D   ","PbS2-Par  "
"Delft3D   ","AsS2      "
"Delft3D   ","AsS2-Dis  "
"Delft3D   ","AsS2-Par  "
"Delft3D   ","VaS2      "
"Delft3D   ","VaS2-Dis  "
"Delft3D   ","VaS2-Par  "
"Delft3D   ","ZnS2      "
"Delft3D   ","ZnS2-Dis  "
"Delft3D   ","ZnS2-Par  "
"Delft3D   ","153S1     "
"Delft3D   ","153S1-Dis "
"Delft3D   ","153S1-Par "
"Delft3D   ","AtrS1     "
"Delft3D   ","AtrS1-Dis "
"Delft3D   ","AtrS1-Par "
"Delft3D   ","BaPS1     "
"Delft3D   ","BaPS1-Dis "
"Delft3D   ","BaPS1-Par "
"Delft3D   ","DiuS1     "
"Delft3D   ","DiuS1-Dis "
"Delft3D   ","DiuS1-Par "
"Delft3D   ","FluS1     "
"Delft3D   ","FluS1-Dis "
"Delft3D   ","FluS1-Par "
"Delft3D   ","HCBS1     "
"Delft3D   ","HCBS1-Dis "
"Delft3D   ","HCBS1-Par "
"Delft3D   ","HCHS1     "
"Delft3D   ","HCHS1-Dis "
"Delft3D   ","HCHS1-Par "
"Delft3D   ","MefS1     "
"Delft3D   ","MefS1-Dis "
"Delft3D   ","MefS1-Par "
"Delft3D   ","153S2     "
"Delft3D   ","153S2-Dis "
"Delft3D   ","153S2-Par "
"Delft3D   ","AtrS2     "
"Delft3D   ","AtrS2-Dis "
"Delft3D   ","AtrS2-Par "
"Delft3D   ","BaPS2     "
"Delft3D   ","BaPS2-Dis "
"Delft3D   ","BaPS2-Par "
"Delft3D   ","DiuS2     "
"Delft3D   ","DiuS2-Dis "
"Delft3D   ","DiuS2-Par "
"Delft3D   ","FluS2     "
"Delft3D   ","FluS2-Dis "
"Delft3D   ","FluS2-Par "
"Delft3D   ","HCBS2     "
"Delft3D   ","HCBS2-Dis "
"Delft3D   ","HCBS2-Par "
"Delft3D   ","HCHS2     "
"Delft3D   ","HCHS2-Dis "
"Delft3D   ","HCHS2-Par "
"Delft3D   ","MefS2     "
"Delft3D   ","MefS2-Dis "
"Delft3D   ","MefS2-Par "
"Delft3D   ","153-dis   "
"Delft3D   ","153-par   "
"Delft3D   ","Atr-dis   "
"Delft3D   ","Atr-par   "
"Delft3D   ","BaP-dis   "
"Delft3D   ","BaP-par   "
"Delft3D   ","Diu-dis   "
"Delft3D   ","Diu-par   "
"Delft3D   ","Flu-dis   "
"Delft3D   ","Flu-par   "
"Delft3D   ","HCB-dis   "
"Delft3D   ","HCB-par   "
"Delft3D   ","HCH-dis   "
"Delft3D   ","HCH-par   "
"Delft3D   ","Mef-dis   "
"Delft3D   ","Mef-par   "
"Delft3D   ","POSi1     "
"Delft3D   ","NH3       "
"Delft3D   ","OMPS1     "
"Delft3D   ","OMPS1-Dis "
"Delft3D   ","OMPS1-Par "
"Delft3D   ","OMPS2     "
"Delft3D   ","OMPS2-Dis "
"Delft3D   ","OMPS2-Par "
"Delft3D   ","OMP-dis   "
"Delft3D   ","OMP-par   "
"Delft3D   ","VB01      "
"Delft3D   ","VB02      "
"Delft3D   ","VB03      "
"Delft3D   ","VB04      "
"Delft3D   ","VB05      "
"Delft3D   ","VB06      "
"Delft3D   ","VB07      "
"Delft3D   ","VB08      "
"Delft3D   ","VB09      "
"Sobek     ","Continuity"
"Sobek     ","ModTemp   "
"Sobek     ","FrCon     "
"Sobek     ","FrFlow    "
"Sobek     ","SalBnd    "
"Sobek     ","Salinity  "
"Sobek     ","Cl        "
"Sobek     ","IM1       "
"Sobek     ","IM2       "
"Sobek     ","IM3       "
"Sobek     ","Cd        "
"Sobek     ","Cu        "
"Sobek     ","Zn        "
"Sobek     ","Cr        "
"Sobek     ","Hg        "
"Sobek     ","Pb        "
"Sobek     ","As        "
"Sobek     ","Va        "
"Sobek     ","Ni        "
"Sobek     ","BODC      "
"Sobek     ","Green     "
"Sobek     ","Diat      "
"Sobek     ","NO3       "
"Sobek     ","NH4       "
"Sobek     ","DetN      "
"Sobek     ","PO4       "
"Sobek     ","AAP       "
"Sobek     ","DetP      "
"Sobek     ","Si        "
"Sobek     ","DetSi     "
"Sobek     ","OXY       "
"Sobek     ","TColi     "
"Sobek     ","EColi     "
"Sobek     ","FColi     "
"Sobek     ","EnCoc     "
"Sobek     ","153       "
"Sobek     ","ATR       "
"Sobek     ","BaP       "
"Sobek     ","Flu       "
"Sobek     ","Mef       "
"Sobek     ","Diu       "
"Sobek     ","HCH       "
"Sobek     ","HCB       "
"Sobek     ","cTR1      "
"Sobek     ","dTR1      "
"Sobek     ","cTR2      "
"Sobek     ","dTR2      "
"Sobek     ","cTR3      "
"Sobek     ","dTR3      "
"Sobek     ","cTR4      "
