old_name,new_name,old_default,configuration,serial,action_type
"Grd_Vel   ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"PAP       ","n.a.      ",    0.00000    ,"          ",2012032801,         7
"WM_PAP    ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"Sed_PAP   ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"Tau       ","CalTau    ",    0.00000    ,"          ",2012032801,         1
"DecFastG  ","DecFast   ",    0.00000    ,"          ",2012032801,         1
"DecFastG  ","SWOMDec   ",    0.00000    ,"          ",2012032801,         6
"DecFastG  ","b_poc1doc ",    0.00000    ,"          ",2012032801,         6
"ku_dFdec20","ku_dFdcN20",    0.00000    ,"          ",2012032801,         8
"ku_dFdec20","ku_dFdcP20",    0.00000    ,"          ",2012032801,         8
"ku_dFdec20","ku_dFdcC20",    0.00000    ,"          ",2012032801,         8
"kl_dFdec20","kl_dFdcN20",    0.00000    ,"          ",2012032801,         8
"kl_dFdec20","kl_dFdcP20",    0.00000    ,"          ",2012032801,         8
"kl_dFdec20","kl_dFdcC20",    0.00000    ,"          ",2012032801,         8
"DecFastG  ","b_ni      ",    1.00000    ,"          ",2012032801,         6
"DecFastG  ","b_su      ",    1.00000    ,"          ",2012032801,         6
"DecMediumG","DecMedium ",    0.00000    ,"          ",2012032801,         1
"DecMediumG","SWOMDec   ",    0.00000    ,"          ",2012032801,         6
"ku_dMdec20","ku_dMdcN20",    0.00000    ,"          ",2012032801,         8
"ku_dMdec20","ku_dMdcP20",    0.00000    ,"          ",2012032801,         8
"ku_dMdec20","ku_dMdcC20",    0.00000    ,"          ",2012032801,         8
"kl_dMdec20","kl_dMdcN20",    0.00000    ,"          ",2012032801,         8
"kl_dMdec20","kl_dMdcP20",    0.00000    ,"          ",2012032801,         8
"kl_dMdec20","kl_dMdcC20",    0.00000    ,"          ",2012032801,         8
"DecMediumG","b_ni      ",    1.00000    ,"          ",2012032801,         6
"DecMediumG","b_su      ",    1.00000    ,"          ",2012032801,         6
"DecSlowG  ","DecSlow   ",    0.00000    ,"          ",2012032801,         1
"DecSlowG  ","SWOMDec   ",    0.00000    ,"          ",2012032801,         6
"ku_dSdec20","ku_dSdcN20",    0.00000    ,"          ",2012032801,         8
"ku_dSdec20","ku_dSdcP20",    0.00000    ,"          ",2012032801,         8
"ku_dSdec20","ku_dSdcC20",    0.00000    ,"          ",2012032801,         8
"kl_dSdec20","kl_dSdcN20",    0.00000    ,"          ",2012032801,         8
"kl_dSdec20","kl_dSdcP20",    0.00000    ,"          ",2012032801,         8
"kl_dSdec20","kl_dSdcC20",    0.00000    ,"          ",2012032801,         8
"k_dprdec20","k_dprdcC20",    0.00000    ,"          ",2012032801,         2
"k_DOCdec20","k_DOCdcC20",    0.00000    ,"          ",2012032801,         2
"DecSlowG  ","b_ni      ",    1.00000    ,"          ",2012032801,         6
"DecSlowG  ","b_su      ",    1.00000    ,"          ",2012032801,         6
"DecRefrG  ","DecRefr   ",    0.00000    ,"          ",2012032801,         1
"DecRefrG  ","b_ni      ",    1.00000    ,"          ",2012032801,         6
"DecRefrG  ","b_su      ",    1.00000    ,"          ",2012032801,         6
"DecDOCG   ","DecDOC    ",    0.00000    ,"          ",2012032801,         1
"DecDOCG   ","b_ni      ",    1.00000    ,"          ",2012032801,         6
"DecDOCG   ","b_su      ",    1.00000    ,"          ",2012032801,         6
"Res_IM1   ","S12traIM1 ",    0.00000    ,"          ",2012032801,         1
"Res_IM2   ","S12traIM2 ",    0.00000    ,"          ",2012032801,         1
"Res_IM3   ","S12traIM3 ",    0.00000    ,"          ",2012032801,         1
"Res_DetC  ","S12traDetC",    0.00000    ,"          ",2012032801,         1
"Res_OOC   ","S12traOOC ",    0.00000    ,"          ",2012032801,         1
"Res_Green ","S12traGree",    0.00000    ,"          ",2012032801,         1
"Res_Diat  ","S12traDiat",    0.00000    ,"          ",2012032801,         1
"Res_AAP   ","S12traAAP ",    0.00000    ,"          ",2012032801,         1
"Res_MPB1  ","S12traMPB1",    0.00000    ,"          ",2012032801,         1
